datekey,calendardate,calendaryear,calendarmonthnumber,calendarmonthname,calendarmonthstart,calendarmonthend
20210101,1/1/2021,2021,1,January,20210101,20210131
20210102,1/2/2021,2021,1,January,20210101,20210131
20210103,1/3/2021,2021,1,January,20210101,20210131
20210104,1/4/2021,2021,1,January,20210101,20210131
20210105,1/5/2021,2021,1,January,20210101,20210131
20210106,1/6/2021,2021,1,January,20210101,20210131
20210107,1/7/2021,2021,1,January,20210101,20210131
20210108,1/8/2021,2021,1,January,20210101,20210131
20210109,1/9/2021,2021,1,January,20210101,20210131
20210110,1/10/2021,2021,1,January,20210101,20210131
20210111,1/11/2021,2021,1,January,20210101,20210131
20210112,1/12/2021,2021,1,January,20210101,20210131
20210113,1/13/2021,2021,1,January,20210101,20210131
20210114,1/14/2021,2021,1,January,20210101,20210131
20210115,1/15/2021,2021,1,January,20210101,20210131
20210116,1/16/2021,2021,1,January,20210101,20210131
20210117,1/17/2021,2021,1,January,20210101,20210131
20210118,1/18/2021,2021,1,January,20210101,20210131
20210119,1/19/2021,2021,1,January,20210101,20210131
20210120,1/20/2021,2021,1,January,20210101,20210131
20210121,1/21/2021,2021,1,January,20210101,20210131
20210122,1/22/2021,2021,1,January,20210101,20210131
20210123,1/23/2021,2021,1,January,20210101,20210131
20210124,1/24/2021,2021,1,January,20210101,20210131
20210125,1/25/2021,2021,1,January,20210101,20210131
20210126,1/26/2021,2021,1,January,20210101,20210131
20210127,1/27/2021,2021,1,January,20210101,20210131
20210128,1/28/2021,2021,1,January,20210101,20210131
20210129,1/29/2021,2021,1,January,20210101,20210131
20210130,1/30/2021,2021,1,January,20210101,20210131
20210131,1/31/2021,2021,1,January,20210101,20210131
20210201,2/1/2021,2021,2,February,20210201,20210228
20210202,2/2/2021,2021,2,February,20210201,20210228
20210203,2/3/2021,2021,2,February,20210201,20210228
20210204,2/4/2021,2021,2,February,20210201,20210228
20210205,2/5/2021,2021,2,February,20210201,20210228
20210206,2/6/2021,2021,2,February,20210201,20210228
20210207,2/7/2021,2021,2,February,20210201,20210228
20210208,2/8/2021,2021,2,February,20210201,20210228
20210209,2/9/2021,2021,2,February,20210201,20210228
20210210,2/10/2021,2021,2,February,20210201,20210228
20210211,2/11/2021,2021,2,February,20210201,20210228
20210212,2/12/2021,2021,2,February,20210201,20210228
20210213,2/13/2021,2021,2,February,20210201,20210228
20210214,2/14/2021,2021,2,February,20210201,20210228
20210215,2/15/2021,2021,2,February,20210201,20210228
20210216,2/16/2021,2021,2,February,20210201,20210228
20210217,2/17/2021,2021,2,February,20210201,20210228
20210218,2/18/2021,2021,2,February,20210201,20210228
20210219,2/19/2021,2021,2,February,20210201,20210228
20210220,2/20/2021,2021,2,February,20210201,20210228
20210221,2/21/2021,2021,2,February,20210201,20210228
20210222,2/22/2021,2021,2,February,20210201,20210228
20210223,2/23/2021,2021,2,February,20210201,20210228
20210224,2/24/2021,2021,2,February,20210201,20210228
20210225,2/25/2021,2021,2,February,20210201,20210228
20210226,2/26/2021,2021,2,February,20210201,20210228
20210227,2/27/2021,2021,2,February,20210201,20210228
20210228,2/28/2021,2021,2,February,20210201,20210228
20210301,3/1/2021,2021,3,March,20210301,20210331
20210302,3/2/2021,2021,3,March,20210301,20210331
20210303,3/3/2021,2021,3,March,20210301,20210331
20210304,3/4/2021,2021,3,March,20210301,20210331
20210305,3/5/2021,2021,3,March,20210301,20210331
20210306,3/6/2021,2021,3,March,20210301,20210331
20210307,3/7/2021,2021,3,March,20210301,20210331
20210308,3/8/2021,2021,3,March,20210301,20210331
20210309,3/9/2021,2021,3,March,20210301,20210331
20210310,3/10/2021,2021,3,March,20210301,20210331
20210311,3/11/2021,2021,3,March,20210301,20210331
20210312,3/12/2021,2021,3,March,20210301,20210331
20210313,3/13/2021,2021,3,March,20210301,20210331
20210314,3/14/2021,2021,3,March,20210301,20210331
20210315,3/15/2021,2021,3,March,20210301,20210331
20210316,3/16/2021,2021,3,March,20210301,20210331
20210317,3/17/2021,2021,3,March,20210301,20210331
20210318,3/18/2021,2021,3,March,20210301,20210331
20210319,3/19/2021,2021,3,March,20210301,20210331
20210320,3/20/2021,2021,3,March,20210301,20210331
20210321,3/21/2021,2021,3,March,20210301,20210331
20210322,3/22/2021,2021,3,March,20210301,20210331
20210323,3/23/2021,2021,3,March,20210301,20210331
20210324,3/24/2021,2021,3,March,20210301,20210331
20210325,3/25/2021,2021,3,March,20210301,20210331
20210326,3/26/2021,2021,3,March,20210301,20210331
20210327,3/27/2021,2021,3,March,20210301,20210331
20210328,3/28/2021,2021,3,March,20210301,20210331
20210329,3/29/2021,2021,3,March,20210301,20210331
20210330,3/30/2021,2021,3,March,20210301,20210331
20210331,3/31/2021,2021,3,March,20210301,20210331
20210401,4/1/2021,2021,4,April,20210401,20210430
20210402,4/2/2021,2021,4,April,20210401,20210430
20210403,4/3/2021,2021,4,April,20210401,20210430
20210404,4/4/2021,2021,4,April,20210401,20210430
20210405,4/5/2021,2021,4,April,20210401,20210430
20210406,4/6/2021,2021,4,April,20210401,20210430
20210407,4/7/2021,2021,4,April,20210401,20210430
20210408,4/8/2021,2021,4,April,20210401,20210430
20210409,4/9/2021,2021,4,April,20210401,20210430
20210410,4/10/2021,2021,4,April,20210401,20210430
20210411,4/11/2021,2021,4,April,20210401,20210430
20210412,4/12/2021,2021,4,April,20210401,20210430
20210413,4/13/2021,2021,4,April,20210401,20210430
20210414,4/14/2021,2021,4,April,20210401,20210430
20210415,4/15/2021,2021,4,April,20210401,20210430
20210416,4/16/2021,2021,4,April,20210401,20210430
20210417,4/17/2021,2021,4,April,20210401,20210430
20210418,4/18/2021,2021,4,April,20210401,20210430
20210419,4/19/2021,2021,4,April,20210401,20210430
20210420,4/20/2021,2021,4,April,20210401,20210430
20210421,4/21/2021,2021,4,April,20210401,20210430
20210422,4/22/2021,2021,4,April,20210401,20210430
20210423,4/23/2021,2021,4,April,20210401,20210430
20210424,4/24/2021,2021,4,April,20210401,20210430
20210425,4/25/2021,2021,4,April,20210401,20210430
20210426,4/26/2021,2021,4,April,20210401,20210430
20210427,4/27/2021,2021,4,April,20210401,20210430
20210428,4/28/2021,2021,4,April,20210401,20210430
20210429,4/29/2021,2021,4,April,20210401,20210430
20210430,4/30/2021,2021,4,April,20210401,20210430
20210501,5/1/2021,2021,5,May,20210501,20210531
20210502,5/2/2021,2021,5,May,20210501,20210531
20210503,5/3/2021,2021,5,May,20210501,20210531
20210504,5/4/2021,2021,5,May,20210501,20210531
20210505,5/5/2021,2021,5,May,20210501,20210531
20210506,5/6/2021,2021,5,May,20210501,20210531
20210507,5/7/2021,2021,5,May,20210501,20210531
20210508,5/8/2021,2021,5,May,20210501,20210531
