id,taskname,billable,client_id
5,Spend a Night in the Igloo Village in Finland 1,Unbillable,0
6,Go Helmet Diving 1,Unbillable,0
7,Be Smiling in a Random Persons Photo in the Back 1,Unbillable,0
13,Work For a Political Party 1,Unbillable,0
14,Cliff Diving Into Water 1,Unbillable,0
16,Complete a 10K Competitive Run Race 1,Unbillable,0
3665,Become a Scratch Golfer 1,Unbillable,0
3667,Have a Silly String Fight 1,Unbillable,0
3668,Be a Bridesmaid 1,Unbillable,0
4425,Create a World Map With Pins of Where I've Been 1,Unbillable,0
13177,Run a Marathon For Charity 1,Unbillable,0
13384,Go a Month Without Television 1,Unbillable,0
13659,Join an Art Class 1,Unbillable,0
13660,Complete 4Hr Body Challenge 1,Unbillable,0
13662,Tell Dad I Love Him 1,Unbillable,0
2,Go Guerilla Gardening 1,Unbillable,0
4,Learn to Say “Hello” in 15 Languages 1,Unbillable,0
9,Kill and Skin a Rabbit 1,Unbillable,0
10,Jump Out of a Plane With a Parachute 1,Unbillable,0
11,Write a Full-Length Play 1,Unbillable,0
12,Have a Wish at 11:11 Come True 1,Unbillable,0
17,Learn to Swim 1,Unbillable,0
19,Have a Seat in Government 1,Unbillable,0
3663,See the Kremlin in Russia 1,Unbillable,0
3664,Learn How to Use Photoshop 1,Unbillable,0
3669,See Jerusalem 1,Unbillable,0
3670,See the Human Brain in Real Life 1,Unbillable,0
5768,Go Swimming With Dolphins 1,Unbillable,0
13656,Zipline Through the Jungle 1,Unbillable,0
13658,Go on a Humanitarian Aid Trip 1,Unbillable,0
86060,Get my Chakras Aligned 1,Unbillable,0
93497,Experience 25 Different Modes of Transportation 1,Unbillable,0
109174,Sleep on an Air Mattress Floating in Water 1,Unbillable,0
109179,Work on a Crew For a Hot Air Balloon 1,Unbillable,0
109180,Cruise Around the World 1,Unbillable,0
109181,Free Myself from Debt 1,Unbillable,0
109182,Complete my Degree With No Less Than a Distinction 1,Unbillable,0
110349,Cross the Nile River 1,Unbillable,0
110351,Eat at the Heart Attack Grill in Las Vegas 1,Unbillable,0
110601,Go Snow Tubing 1,Unbillable,0
110758,Attend a Poetry Reading 1,Unbillable,0
110783,Become a Famous Business Women 1,Unbillable,0
110784,Be Fitter Then Ever 1,Unbillable,0
108690,Attend a Chinese New Year 1,Unbillable,0
108691,Ride Every Single Ride at a Theme Park 1,Unbillable,0
109175,Go to an Indian Wedding 1,Unbillable,0
109176,Help my Brother Find Out What He Wants to Do 1,Unbillable,0
109177,Eat a Gyro in Greece 1,Unbillable,0
110220,Climb 5 Mountains 1,Unbillable,0
110606,Start a Side Photography Business 1,Unbillable,0
110757,Feed Sharks 1,Unbillable,0
110915,See the Ruins of Pompeii 1,Unbillable,0
115185,Make Vodka Gummy Bear 1,Unbillable,0
116949,Make Homemade Pasta 1,Unbillable,0
119414,Get Certified As a Financial Planner 1,Unbillable,0
120449,Learn to Snorkel 1,Unbillable,0
124476,Drive the Hawaiian Coast 1,Unbillable,0
116885,Go to a Film Premiere 2,Unbillable,0
121045,Sing a Bohemians Prague Song For 34 Minutes Straight 2,Unbillable,0
122232,Learn How to Snowboard 2,Unbillable,0
123395,Attend a Broadway Show 2,Unbillable,0
125868,Create a Tradition of Getting Together 2,Unbillable,0
136629,Learn to Say “Hello” in 15 Languages 2,Unbillable,0
142971,Jump Out of a Plane With a Parachute 2,Unbillable,0
131623,Learn to Swim 2,Unbillable,0
131754,Have a Seat in Government 2,Unbillable,0
133551,See the Kremlin in Russia 2,Unbillable,0
133558,Learn How to Use Photoshop 2,Unbillable,0
135974,Kiss at the Top of a Ferris Wheel 2,Unbillable,0
137129,Go to the Top of the Leaning Tower of Pisa 2,Unbillable,0
142969,Hike the Entire Sentier De L'Etoile 2,Unbillable,0
149959,Explore Manhattan 2,Unbillable,0
150369,Join a Mastermind 2,Unbillable,0
158340,Build a Blanket Fort With Someone I Love 2,Unbillable,0
161132,Become a Farmer 2,Unbillable,0
162979,Attend a College Football Game 2,Unbillable,0
163227,Try White Hot Chocolate 2,Unbillable,0
163904,Camp in the Backyard 2,Unbillable,0
164681,Swim in the Nile 2,Unbillable,0
150748,Learn Argentinean Tango in Argentina 2,Unbillable,0
150749,Design and Build my Dream House 2,Unbillable,0
155730,Be on More Than 4 TV Shows 2,Unbillable,0
162079,Go to a Cafe Alone 2,Unbillable,0
163943,Do 100 Sit Ups in 5 Minutes 2,Unbillable,0
167856,Go to India 2,Unbillable,0
168249,Cross the Nile River 2,Unbillable,0
168509,Eat at the Heart Attack Grill in Las Vegas 2,Unbillable,0
175914,Help my Brother Find Out What He Wants to Do 2,Unbillable,0
177141,Work For a Political Party 3,Unbillable,0
168472,Kill and Skin a Rabbit 3,Unbillable,0
168487,Jump Out of a Plane With a Parachute 3,Unbillable,0
168490,Write a Full-Length Play 3,Unbillable,0
168632,Have a Wish at 11:11 Come True 3,Unbillable,0
169733,Have a 24 Hour Movie-Marathon 3,Unbillable,0
184656,Study Math 3,Unbillable,0
177989,Go to a Cafe Alone 3,Unbillable,0
194881,Volunteer at a Blind Camp 4,Unbillable,0
195901,Go to the Top of the Leaning Tower of Pisa 4,Unbillable,0
198415,Become a Bodybuilder 4,Unbillable,0
